ano,regiao,tx_repro_fund_af,tx_aband_fund_af,tx_repro_med,tx_aband_med
2015,Centro-Oeste,9.1,2.2,12.9,7.9
2015,Nordeste,14.0,5.0,11.5,8.0
2015,Norte,11.7,5.7,9.7,13.2
2015,Sudeste,8.6,1.8,10.9,4.2
2015,Sul,12.6,2.1,13.6,7.4
2016,Centro-Oeste,9.2,2.0,12.8,6.8
2016,Nordeste,14.2,4.8,11.6,7.8
2016,Norte,11.3,4.9,9.6,10.8
2016,Sudeste,9.0,1.9,11.5,4.9
2016,Sul,13.2,1.6,14.8,6.3
2017,Centro-Oeste,6.7,1.6,10.5,5.6
2017,Nordeste,12.4,4.2,10.0,7.0
2017,Norte,10.5,4.6,10.2,9.8
2017,Sudeste,8.2,1.7,10.5,4.5
2017,Sul,12.2,1.6,14.1,6.9
2018,Centro-Oeste,0.7,0.3,9.8,5.2
2018,Nordeste,1.2,1.0,10.1,6.7
2018,Norte,0.8,1.6,8.8,10.6
2018,Sudeste,1.5,0.4,10.1,4.6
2018,Sul,1.2,0.2,14.3,6.5
2019,Centro-Oeste,0.7,0.3,10.0,4.8
2019,Nordeste,1.0,0.7,8.5,5.2
2019,Norte,0.7,1.4,9.5,9.0
2019,Sudeste,1.3,0.3,8.5,3.4
2019,Sul,0.9,0.2,11.7,4.3
2020,Centro-Oeste,0.4,0.6,5.5,1.1
2020,Nordeste,0.4,2.8,0.8,2.2
2020,Norte,0.2,1.2,2.0,1.1
2020,Sudeste,0.4,0.9,3.0,2.2
2020,Sul,0.5,0.2,4.8,4.2
2021,Centro-Oeste,3.0,0.6,8.3,2.2
2021,Nordeste,2.8,2.7,2.7,6.3
2021,Norte,3.7,3.5,8.0,10.1
2021,Sudeste,1.6,1.0,3.2,3.0
2021,Sul,3.1,1.2,4.9,5.7
2022,Centro-Oeste,4.0,0.9,8.8,4.5
2022,Nordeste,7.7,2.8,7.6,6.7
2022,Norte,8.4,3.8,8.8,8.8
2022,Sudeste,4.2,1.1,7.0,4.4
2022,Sul,6.7,1.1,8.6,6.0
2023,Centro-Oeste,3.0,0.6,4.4,2.1
2023,Nordeste,6.1,1.6,4.1,3.4
2023,Norte,5.9,2.4,3.7,2.4
2023,Sudeste,3.8,0.8,5.9,3.5
2023,Sul,5.3,0.6,7.6,4.0
2024,Centro-Oeste,3.0,0.6,4.1,2.0
2024,Nordeste,6.1,1.5,4.4,3.5
2024,Norte,5.8,1.9,3.8,3.0
2024,Sudeste,3.6,0.8,5.2,3.2
2024,Sul,5.7,0.5,8.0,3.1
